OSCNet Image Quality Evaluation
Date: 2025-03-12 17:22:40
Results Directory: /home/mcosta/PycharmProjects/OSCNet/OSCNet/save_results

Filename                         PSNR        SSIM
--------------------------------------------------
1641.png                        43.00      0.9918
1642.png                        35.19      0.9814
1643.png                        36.77      0.9856
1644.png                        47.25      0.9933
1645.png                        43.79      0.9929
1646.png                        48.06      0.9944
1647.png                        37.78      0.9857
1648.png                        35.97      0.9784
1649.png                        44.23      0.9922
165.png                         41.64      0.9907
1650.png                        44.78      0.9908
1651.png                        43.14      0.9918
1652.png                        35.01      0.9814
1653.png                        35.43      0.9851
1654.png                        47.82      0.9932
1655.png                        43.31      0.9926
1656.png                        47.19      0.9937
1657.png                        38.38      0.9861
1658.png                        37.57      0.9795
1659.png                        43.64      0.9907
166.png                         45.85      0.9925
1660.png                        46.00      0.9913
1661.png                        36.00      0.9892
1662.png                        31.78      0.9772
1663.png                        32.34      0.9820
1664.png                        46.52      0.9934
1665.png                        43.02      0.9921
1666.png                        47.10      0.9944
1667.png                        37.78      0.9852
1668.png                        34.72      0.9739
1669.png                        40.89      0.9899
167.png                         39.59      0.9847
1670.png                        43.71      0.9911
1671.png                        42.82      0.9918
1672.png                        36.43      0.9825
1673.png                        35.69      0.9846
1674.png                        46.85      0.9930
1675.png                        43.85      0.9925
1676.png                        47.67      0.9942
1677.png                        42.24      0.9878
1678.png                        37.41      0.9777
1679.png                        42.32      0.9906
168.png                         37.53      0.9739
1680.png                        43.72      0.9904
1681.png                        40.27      0.9906
1682.png                        33.45      0.9795
1683.png                        35.75      0.9846
1684.png                        45.43      0.9927
1685.png                        42.73      0.9924
1686.png                        47.74      0.9944
1687.png                        40.51      0.9874
1688.png                        35.63      0.9770
1689.png                        41.50      0.9902
169.png                         40.63      0.9889
1690.png                        43.97      0.9911
1691.png                        34.89      0.9888
1692.png                        34.51      0.9782
1693.png                        34.15      0.9845
1694.png                        43.29      0.9926
1695.png                        42.55      0.9931
1696.png                        47.01      0.9952
1697.png                        38.78      0.9867
1698.png                        35.62      0.9757
1699.png                        41.07      0.9906
17.png                          40.16      0.9832
170.png                         41.30      0.9894
1700.png                        42.16      0.9913
1701.png                        43.06      0.9904
1702.png                        37.35      0.9789
1703.png                        37.04      0.9856
1704.png                        46.12      0.9941
1705.png                        43.92      0.9931
1706.png                        46.49      0.9939
1707.png                        40.48      0.9875
1708.png                        41.21      0.9827
1709.png                        45.36      0.9935
171.png                         28.29      0.9826
1710.png                        48.92      0.9939
1711.png                        44.40      0.9925
1712.png                        37.41      0.9808
1713.png                        35.87      0.9858
1714.png                        48.72      0.9940
1715.png                        44.02      0.9938
1716.png                        48.56      0.9944
1717.png                        41.10      0.9879
1718.png                        39.89      0.9828
1719.png                        43.70      0.9913
172.png                         28.42      0.9717
1720.png                        46.63      0.9923
1721.png                        40.68      0.9874
1722.png                        34.35      0.9661
1723.png                        37.33      0.9818
1724.png                        46.25      0.9929
1725.png                        43.60      0.9931
1726.png                        46.12      0.9942
1727.png                        37.69      0.9831
1728.png                        34.71      0.9675
1729.png                        41.33      0.9901
173.png                         30.53      0.9815
1730.png                        42.77      0.9902
1731.png                        46.12      0.9837
1732.png                        36.52      0.9637
1733.png                        40.24      0.9657
1734.png                        46.69      0.9911
1735.png                        44.83      0.9911
1736.png                        47.20      0.9928
1737.png                        41.54      0.9810
1738.png                        37.97      0.9629
